trip_start_timestamp,trip_total,trip_pooled,trip_miles
2020-12-01,15.967444902521082,1.0,7.103717993254802

2020-12-02,15.792110202236485,1.0,6.9964218039604065

2020-12-03,15.696227697858887,1.0,6.96511349849083

2020-12-04,15.777373670571171,1.0,6.854572209815655

2020-12-05,14.89131811474339,1.0,6.412471856321662

2020-12-06,15.650471711811216,1.0,6.983398380658964

2020-12-07,16.0951978391784,1.0,7.204708396404322

2020-12-08,15.533246337746677,1.0,6.75483147953481

2020-12-09,15.614343108589223,1.0,6.801513804010494

2020-12-10,15.950740114804537,1.0,6.987434481313687

2020-12-11,16.19061215143811,1.0,6.754037986904154

2020-12-12,15.738765776598592,1.0,6.388225009108244

2020-12-13,16.205790995245838,1.0,7.025470099584709

2020-12-14,16.170922969397648,1.0,7.177509706854167

2020-12-15,15.90297426134592,1.0,6.796087825134248

2020-12-16,15.642780877987827,1.0,6.789909099484311

2020-12-17,16.07750627364636,1.0,6.966808583780744

2020-12-18,16.547501027001264,1.0,6.991648864574539

2020-12-19,16.188700148626044,1.0,6.922892713496526

2020-12-20,16.75241911436659,1.0,7.410545514128174

2020-12-21,16.5178635937183,1.0,7.26588504723513

2020-12-22,16.50250360770151,1.0,7.197651668057951

2020-12-23,17.25978054588782,1.0,7.397538849323978

2020-12-24,17.07741974769197,1.0,7.439180185958597

2020-12-25,18.561483853328202,1.0,8.22689469831131

2020-12-26,16.933495889392006,1.0,7.5901066345120585

2020-12-27,18.29204569709897,1.0,8.129962788468328

2020-12-28,17.056971411197143,1.0,7.621796498984577

2020-12-29,18.54881800692407,1.0000155273207125,7.286248450269288

2020-12-30,18.323381769792316,1.000015608333969,7.373234857143662

2020-12-31,17.77830217165639,1.0000181950509461,7.154717879175325

