trip_start_timestamp,trip_total,trip_pooled,trip_miles

2020-11-01,16.421035892937102,1.0000262858253,7.075567144084449

2020-11-02,16.71819878559536,1.0,7.3312919453618575

2020-11-03,15.903782555927323,1.0,6.682255294570479

2020-11-04,16.097785789831107,1.0,6.873431907963462

2020-11-05,16.278855118458992,1.000042712613316,7.053756327443797

2020-11-06,16.346942087940587,1.0,6.936964420699518

2020-11-07,15.406838852168008,1.0000077571964272,6.346440319370555

2020-11-08,16.224388467704077,1.0,7.126368709003216

2020-11-09,16.73735061095755,1.0,7.333615087813226

2020-11-10,16.105432149876044,1.0,6.877870821529661

2020-11-11,15.9106471481492,1.0000220402002074,6.802361695322993

2020-11-12,16.360734729509755,1.000012599952255,7.0087748536906185

2020-11-13,16.32044797193465,1.0,6.878485918580708

2020-11-14,15.233862693939846,1.0,6.4133661074225445

2020-11-15,16.042789403716103,1.0,7.032496388286037

2020-11-16,16.742302334802375,1.0,7.334472830163247

2020-11-17,15.869997698086252,1.0,6.868052958992675

2020-11-18,15.91475737199868,1.0,6.930334176089249

2020-11-19,16.361152081193353,1.0,7.089829304811342

2020-11-20,16.592642618723783,1.0,7.151885131992312

2020-11-21,15.960159488153655,1.0,6.927604676436576

2020-11-22,16.521034740672974,1.0,7.4657590319242955

2020-11-23,16.399649229063982,1.0,7.255046573360744

2020-11-24,16.23304454545703,1.0000180375180376,7.120875034876415

2020-11-25,16.444667606669796,1.000022210376688,7.224485375479012

2020-11-26,17.518760744881757,1.0,7.814478442674741

2020-11-27,16.575700375811362,1.0,7.31242988382841

2020-11-28,15.83712592755146,1.0,7.167640715008414

2020-11-29,16.75426304248821,1.0,7.763543411218644

2020-11-30,16.689763795492002,1.0,7.537863138346762

