trip_start_timestamp,trip_total,trip_pooled,trip_miles

2020-07-01,16.804936682850894,1.0,7.003231011333402

2020-07-02,17.244893013364273,1.0,7.078017263794223

2020-07-03,16.875700644667912,1.0,6.886240959484566

2020-07-04,16.395228859605925,1.0,6.753943584836392

2020-07-05,17.530493610338826,1.000038414896392,7.395452894744934

2020-07-06,17.336003969054733,1.0000607827743078,7.371676338772256

2020-07-07,16.66107097275419,1.0000242851272285,7.0390597904533365

2020-07-08,16.26933864129622,1.0,6.7964327168369145

2020-07-09,16.433895937164518,1.0,6.8449193890246605

2020-07-10,16.695738007535525,1.0,6.692259032451855

2020-07-11,15.89995708151873,1.0,6.42081910070948

2020-07-12,16.412608945654984,1.0000147974603002,6.918667814126554

2020-07-13,16.685219195931754,1.0,7.102017604253791

2020-07-14,14.705846319677562,1.0000359996771053,6.777372231824688

2020-07-15,16.164203714156947,1.0000382015517113,6.630794281149966

2020-07-16,16.472134089263044,1.0000149664750957,6.779842518440258

2020-07-17,16.80275073474604,1.0000498651721825,6.693334576866181

2020-07-18,16.017242300160433,1.0,6.346172727711388

2020-07-19,16.285853264888022,1.0000204817913152,6.841366829552428

2020-07-20,16.724585024587654,1.0,7.1075044587929765

2020-07-21,16.081418830475013,1.000092757823451,6.702459044521407

2020-07-22,16.06929108231147,1.000013694877376,6.666010774132736

2020-07-23,16.445150775004535,1.0000221855201854,6.834757163066226

2020-07-24,16.683145444549645,1.0000656630365334,6.671497256945622

2020-07-25,16.02552218796416,1.000009808302711,6.3770177349733785

2020-07-26,16.399249837746854,1.0000829844829144,6.779688377926862

2020-07-27,16.804708018101824,1.000041092972119,7.157272704675843

2020-07-28,16.266330366978607,1.0001394456676904,6.79273946801536

2020-07-29,16.118948477241545,1.0000672732009221,6.654723445606613

2020-07-30,16.429394483340893,1.0000542222496298,6.845967505462217

2020-07-31,16.927116824462285,1.0001664109219923,6.718586814383715

