trip_start_timestamp,trip_total,trip_pooled,trip_miles

2021-08-01,30.41155214542358,1.0,7.657732747560149

2021-08-02,32.338481231641914,1.0,8.493039960300068

2021-08-03,25.64305055369159,1.0,7.988118118465674

2021-08-04,25.079470834740594,1.000012603347449,7.8570203663080385

2021-08-05,26.348241424739665,1.0,7.797541199204896

2021-08-06,30.23826566074653,1.0000082280147446,7.475597099063513

2021-08-07,30.525539211340924,1.0,6.700471167719609

2021-08-08,30.201463502450718,1.0,7.463968264085622

2021-08-09,27.37154607849035,1.0,8.026879847676712

2021-08-10,27.41276227159206,1.0,8.081807681414869

2021-08-11,26.0890242682559,1.0,7.903412618294865

2021-08-12,27.756648224629306,1.0000160999484802,7.9541407798957

2021-08-13,28.05728295592211,1.0000121395794868,7.558534618823714

2021-08-14,29.488282247086204,1.0,6.8103585710899734

2021-08-15,31.932446673582103,1.0,7.702011277307494

2021-08-16,27.72296204503782,1.0,8.349480800757219

2021-08-17,23.214802035249704,1.0000133547008547,7.816354098981617

2021-08-18,23.41972197750361,1.0000154206760425,7.788432157598933

2021-08-19,25.367953551126757,1.0,7.768328240688301

2021-08-20,28.84248399817507,1.0000097034621953,7.43749892679438

2021-08-21,30.002203831152997,1.0,6.723696737616379

2021-08-22,32.164851588468,1.0,7.729800556024667

2021-08-23,29.539726448351143,1.0000139353400224,8.427928496268736

2021-08-24,25.001251256754035,1.0000120633082417,7.509685676234156

2021-08-25,27.843402268467486,1.0,7.9013295045072525

2021-08-26,28.365570620176413,1.0,7.86105971797365

2021-08-27,27.870853162063536,1.0,7.293974199703594

2021-08-28,25.01698032376271,1.0,6.565528617620468

2021-08-29,29.05669390588854,1.0,7.4731971911849415

2021-08-30,28.598071208567593,1.0000459548650165,8.123032295790741

2021-08-31,24.172159186008162,1.0000130328517491,7.577125759409108

