trip_start_timestamp,trip_total,trip_pooled,trip_miles

2021-03-01,18.859520729488196,1.0,7.338123679478959

2021-03-02,17.885720351513097,1.0,7.021378388335594

2021-03-03,18.14388351600678,1.0,6.970460478263185

2021-03-04,19.365480244648293,1.000010738831615,7.181224767779334

2021-03-05,19.48595007945204,1.0000087719298245,6.972924064897586

2021-03-06,18.373747306665575,1.0,6.381903260221098

2021-03-07,18.926706577673414,1.0,7.080807313231804

2021-03-08,18.904142536475053,1.0000131192275399,7.429967449344834

2021-03-09,18.295036237095644,1.000027057788696,7.062561893573462

2021-03-10,18.303660920163633,1.0000230771943652,7.069660361611106

2021-03-11,19.216254371797053,1.000011158721657,7.270001030639641

2021-03-12,19.749027965322025,1.0000281264728594,6.954657345669564

2021-03-13,22.37597589551464,1.0,6.437461123049684

2021-03-14,21.502378032500104,1.0000215349801034,7.28935917752536

2021-03-15,22.841639390415263,1.000013069845253,7.623121753287921

2021-03-16,22.28916901714403,1.0,7.528222146208887

2021-03-17,24.247173715661905,1.0000247006765244,7.3434703766771285

2021-03-18,26.788037423320727,1.000013276302866,7.522747535080581

2021-03-19,24.06600351001109,1.000008702311334,7.2305011037009885

2021-03-20,23.691814666159228,1.0,6.780945994251259

2021-03-21,24.07147497153767,1.0,7.417552419274151

2021-03-22,23.172464396735837,1.0000131606654032,7.817376364124837

2021-03-23,22.745112396076603,1.0000124452409398,7.497133194171752

2021-03-24,21.922823663609194,1.0000122772098543,7.462032190069146

2021-03-25,23.522608416307985,1.0000116387337057,7.527255929796993

2021-03-26,23.978342886832582,1.0,7.263455385338784

2021-03-27,24.14006465963713,1.0,6.75464784869726

2021-03-28,23.22591237845513,1.0000126073559272,7.375227166752196

2021-03-29,23.014598509621965,1.0,7.823294529887424

2021-03-30,22.054573158058634,1.0000131523569025,7.520764945364381

2021-03-31,21.981554253157935,1.000014057579847,7.385428758146247

